PlayerID,TeamID,TeamCode,TeamName,TeamImage,PlayerName,PlayerImage,BattingType,BowlingProficiency,PlayerSkill,IsCaptain,IsViceCaptain,IsWK,IsNonDomestic,Season
2018-100mb00000000044-e03a43dbf88a11,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Ajinkya Rahane (c),https://scores.iplt20.com/ipl/playerimages/OuoaZsexTb174255183144.png,Right Hand Batsman,Right Arm Medium Pace,Batsman,1,0,0,0,2025
2019-100mb00000000170-9429250944ae11,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Quinton De Kock (wk),https://scores.iplt20.com/ipl/playerimages/UGAEACmhhE1742551723170.png,Left Hand Batsman,Right Arm Medium Pace,Wicket Keeper,0,0,1,1,2025
2021-100mb00000000584-a3f48c1791dd11,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Venkatesh Iyer ,https://scores.iplt20.com/ipl/playerimages/6KhZRTAr1v1742551903584.png,Left Hand Batsman,Right Arm Medium Pace,All Rounder,0,0,0,0,2025
2019-100mb00000000152-335aed3d44aa11,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Rinku Singh ,https://scores.iplt20.com/ipl/playerimages/A5YqIwo4is1742551466152.png,Left Hand Batsman,Right Arm Off Spinner,Batsman,0,0,0,0,2025
2021-100mb00000000583-8f4c0c4491dd11,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Vaibhav Arora  (IP) ,https://scores.iplt20.com/ipl/playerimages/xJwqLrId4s1742551886583.png,Right Hand Batsman,Right Arm Fast Medium,Bowler,0,0,0,0,2025
2019-100mb00000000156-a6b6f42c44aa11,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Sunil Narine ,https://scores.iplt20.com/ipl/playerimages/1ht9ICb02H1742551490156.png,Left Hand Batsman,Right Arm Off Spinner,All Rounder,0,0,0,1,2025
2019-100mb00000000141-e67c41d144a711,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Andre Russell ,https://scores.iplt20.com/ipl/playerimages/tlIjpSaz7T1742551420141.png,Right Hand Batsman,Right Arm Fast Medium,All Rounder,0,0,0,1,2025
2022-100mb00000000991-d9fbad51a44b11,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Ramandeep Singh ,https://scores.iplt20.com/ipl/playerimages/PbBchxed4d1742552116991.png,Right Hand Batsman,Right Arm Medium Pace,All Rounder,0,0,0,0,2025
2023-100mb00000002518-9a5f0c5357b311,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Spencer Johnson ,https://scores.iplt20.com/ipl/playerimages/F4Ssmm9EKW17425669592518.png,Left Hand Batsman,Left Arm Fast Medium,Bowler,0,0,0,1,2025
2022-100mb00000001013-30676520bcc011,16,KKR,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Harshit Rana ,https://scores.iplt20.com/ipl/playerimages/tS7ZGAfZum17425513771013.png,Right Hand Batsman,Right Arm Fast Medium,Bowler,0,0,0,0,2025
